high_formula,high_mpid,low_formula,low_mpid,avg_voltage,battery_id
TiFe3Cu2(PO4)6,mp-775996,Li4TiFe3Cu2(PO4)6,mp-778677,3.1340877075000058,mp-775996_Li
Cr2(PO4)3,mp-540345,LiCr2(PO4)3,mp-31667,4.894138662500017,mp-1177554_Li
Li4Fe2C4SO16,mp-781611,Li6Fe2C4SO16,mp-770599,2.4284904224999955,mp-770599_Li
FeCSO7,mp-1178258,LiFeCSO7,mp-770901,4.639565405000004,mp-1178258_Li
Li6TiNi7O16,mp-763686,Li8TiNi7O16,mp-763974,3.7357672249999943,mp-763686_Li
LiCr2(PO4)3,mp-697813,Li3Cr4(PO4)6,mp-1177714,5.009168719999968,mp-1177714_Li
Cr2P2O9,mp-1040982,LiCr2P2O9,mp-1013922,5.023880107499997,mp-1013922_Li
Cr3P3O13,mp-1047904,LiCr3P3O13,mp-1012789,4.851894145000022,mp-1012789_Li
Cr5(PO4)4,mp-540446,Li2Cr5(PO4)4,mp-1101544,2.324694427500011,mp-1101544_Li
Li3TiNi3O8,mp-763760,Li4TiNi3O8,mp-771719,3.4512134599999964,mp-763760_Li
Li4Ti2Ni5O12,mp-762815,Li5Ti2Ni5O12,mp-770539,3.910057,mp-762815_Li
Li2Ti(NiO3)2,mp-762559,Li3Ti(NiO3)2,mp-774353,3.6783881066666644,mp-762559_Li
Li4Ti2Ni3O10,mp-762924,Li5Ti2Ni3O10,mp-771224,4.179698114999985,mp-762924_Li
LiTiNiO4,mp-773607,Li2TiNiO4,mp-764019,3.6604316000000003,mp-763633_Li
Li2Ti3NiO8,mp-775326,Li11Ti12(NiO8)4,mp-765649,0.9428935433333314,mp-765649_Li
Li2Mn(BO3)2,mp-767824,Li3Mn(BO3)2,mp-770910,3.7464069674999982,mp-763210_Li
Li3Mn3(BO3)4,mp-767638,Li4Mn3(BO3)4,mp-767639,3.613388389999988,mp-1177099_Li
Li3Mn4O8,mp-1177617,LiMnO2,mp-771858,2.8100453000000036,mp-1177617_Li
MnO2,mp-33009,Li3Mn4O8,mp-1003769,3.231368668333332,mp-1002572_Li
MnO2,mp-644514,LiMn3O6,mp-1003637,3.622818060000005,mp-1003637_Li
MnO2,mvc-11093,LiMn2O4,mp-770797,4.560966255000002,mvc-11093_Li
LiMnSnO4,mp-770037,Li2MnSnO4,mp-773184,2.077381989999997,mp-770037_Li
Li4Mn3(SnO5)2,mp-763667,Li5Mn3(SnO5)2,mp-771223,2.964518775000021,mp-763667_Li
Mn3SnO8,mp-770865,Li2Mn3SnO8,mp-1177993,3.8557792650000002,mp-1177993_Li
Mn3SnO8,mp-771670,Li2Mn3SnO8,mp-772578,3.7213704124999984,mp-771670_Li
Mn3SnO8,mp-850479,Li2Mn3SnO8,mp-772741,3.721209390000004,mp-772741_Li
Mn5SnO12,mp-771938,Li4Mn5SnO12,mp-769798,3.207240195000002,mp-769798_Li
TlSb,mp-1002219,Li2TlSb,mp-1097580,-1.5939070000000002,mp-1002219_Li
LiCu2C2O7,mp-1176775,Li2Cu2C2O7,mp-1178348,3.6823153375000053,mp-1176775_Li
CuCO3,mp-758727,LiCu3(CO3)3,mp-758505,3.693684649999999,mp-757800_Li
Cr5(Si2O7)2,mp-767345,Li2Cr5(Si2O7)2,mp-868281,2.994666499999999,mp-767345_Li
LiNb7V12O48,mp-775662,Li9Nb7V12O48,mp-850928,3.0270704025000064,mp-775662_Li
Li3NbV3O8,mp-769967,Li4NbV3O8,mp-769928,1.705308649999997,mp-769928_Li
Ti3Mn3Cr2O16,mp-770915,Li4Ti3Mn3Cr2O16,mp-771394,3.7991403099999963,mp-770915_Li
CuCO3,mp-760595,LiCu2(CO3)2,mp-753403,4.019925985000006,mp-753403_Li
CuCO3,mp-760536,LiCu3(CO3)3,mp-758450,3.8551179449999804,mp-758427_Li
Li4Ti2Fe3Co3O16,mp-762763,Li10Ti2Fe3Co3O16,mp-778830,2.5383061099999984,mp-762763_Li
Li2MnBPO7,mp-772263,Li3MnBPO7,mp-771732,3.6151174500000045,mp-771732_Li
Ni2P5O16,mp-32393,LiNi2P5O16,mp-32356,5.518434310000009,mp-32356_Li
Ni(PO3)3,mp-767813,LiNi(PO3)3,mp-1176610,5.73680248,mp-1176610_Li
LiCu2(CO3)2,mp-760546,LiCuCO3,mp-760512,2.958224269999993,mp-760512_Li
LiCu3(CO3)3,mp-758383,LiCuCO3,mp-759711,3.054330360000002,mp-758383_Li
LiCu3(CO3)3,mp-758020,Li2Cu3(CO3)3,mp-758178,3.2975016049999843,mp-758020_Li
LiNi2(PO4)3,mp-1101502,Li3Ni2(PO4)3,mp-504139,4.923754370000003,mp-1101502_Li
Li6FeO6,mp-772347,Li8FeO6,mp-772250,3.1639812400000036,mp-762434_Li
Li15(FeO4)4,mp-767924,Li35(FeO4)8,mp-853186,3.851011224,mp-767924_Li
Li9(FeO4)2,mp-763685,Li5FeO4,mp-771402,3.7008261799999977,mp-763685_Li
Ni3P3O13,mp-1048029,LiNi3P3O13,mp-1094143,5.266623759999992,mp-1048029_Li
Li9(FeO4)2,mp-780203,Li5FeO4,mp-780207,3.1807560399999963,mp-780203_Li
Li9(FeO4)2,mp-775344,Li21(FeO4)4,mp-769519,3.0609932933333304,mp-769519_Li
Li7Fe5O16,mp-1176883,Li12Fe5O16,mp-765606,3.640162134000001,mp-1176883_Li
Li11(FeO3)4,mp-849463,Li3FeO3,mp-772348,3.716294750000008,mp-772348_Li
LiNiP2O7,mp-1101495,Li2NiP2O7,mp-779070,4.722299870000006,mp-1101495_Li
NiP2O7,mp-32331,LiNiP2O7,mp-32338,5.281162,mp-32331_Li
NiP2O7,mp-32363,LiNiP2O7,mp-705331,6.0108163900000084,mp-32363_Li
NiP2O7,mp-32334,LiNiP2O7,mp-540225,5.378050540000009,mp-32334_Li
Ni4P4O15,mp-585202,Li2Ni4P4O15,mp-705401,4.424947592499995,mp-585202_Li
Ni4(PO4)3,mp-778760,LiNi4(PO4)3,mp-861635,4.336518854999985,mp-778760_Li
LiFeO3,mp-765652,Li2FeO3,mp-774155,4.119502059999993,mp-1177753_Li
